id_number,name,host_since,host_response_rate,host_acceptance_rate,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,host_response_rate_nan,host_acceptance_rate_nan,Capitol Hill,Columbia Heights,Dupont Circle,Logan Circle,U Street Corridor,Adams Morgan,Near Northeast/H Street Corridor,Shaw,city_one_hot,state_one_hot,property_type_house,property_type_other,Private room,Shared room,bed_type_not_real_bed,instant_bookable_not_f,moderate,strict,super_strict_30,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,Washer_amenities,Dryer_amenities,SmokeDetector_amenities,Internet_amenities,Essentials_amenities,TV_amenities,Shampoo_amenities,CableTV_amenities,FireExtinguisher_amenities,Family/KidFriendly_amenities,CarbonMonoxideDetector_amenities,FirstAidKit_amenities,FreeParkingonPremises_amenities,ElevatorinBuilding_amenities,other_rare_amenities_amenities,price_log
1584,Entire House in Columbia Heights,-0.6358620347400153,0.5952693926966371,0.34747747688247826,3.3479220087215738,2.115191139128941,2.1217535963947154,2.7818700968459535,240.0,1.8164178691526593,3.2433845313278926,-0.06591913940044118,-0.01829765720493445,-0.40813164140945074,-0.05474088569709842,0.5808383245715515,-0.3008131434104074,-1.056523433860767,0.4042185363447895,-0.42955606593324097,0.7947054518495527,-0.19470718343598678,-0.14494073124573553,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,5.480638923341991
1585,LUXURY Top-Floor Corner Apt. VIEWS!,-1.066510856595086,0.5952693926966371,0.6415644538057668,1.8705082003519842,1.2669571941930564,2.1217535963947154,1.1193913106114461,245.0,1.3775651013175108,0.2802803491293055,0.44531475252627484,-0.018325650371529587,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3563195095221102,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,5.501258210544727
1586,Lux 2BR Apt in West End w/pool,-0.08913989761932016,0.34841140904857887,0.10686085939978766,0.8855656614389245,1.2669571941930564,0.9355328007957316,1.1193913106114461,324.0,1.3775651013175108,-0.46049569642034127,0.18969780656291685,-0.01829765720493445,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5527023600281122,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,5.780743515792329
1587,Sunny 1 BD Heart of Dupont Circle,0.025251195685932985,0.28669691313656426,-0.6951945322091809,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,110.0,-0.8166987378582321,0.2802803491293055,-0.06591913940044118,-0.01829765720493445,-0.37496103729943037,-0.05474088569709842,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,0.6774137512987364,-0.3891493148089094,-0.3563195095221102,0.39669950812439764,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,4.700480365792417
1588,Victorian En suite. Close in,0.28263115562275254,0.28669691313656426,0.45441819576367404,-1.0843194163871952,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,75.0,-0.8166987378582321,-0.46049569642034127,-0.06591913940044118,-0.01829765720493445,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19470718343598678,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,4.31748811353631
1589,Elegant Convention Center Penthouse,-0.45754650694065013,0.34841140904857887,0.507888555204272,1.3780369308954543,-0.4295106956787127,0.9355328007957316,1.9506307037286998,200.0,2.0358442530702336,3.984160576877539,-0.3215360853637992,-0.01829765720493445,-0.24227862085934887,0.19994480606583992,0.5808383245715515,0.6328007310235059,0.4191537548024249,0.4042185363447895,-0.42955606593324097,-0.3891493148089094,2.391090033941989,0.6019526514646586,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,5.298317366548036
1590,Garden apt adj to post-war rowhouse,-0.6324975908192726,-2.4904554029040913,-1.925012799342933,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,99.0,1.3775651013175108,0.2802803491293055,-0.06591913940044118,-0.01832611053317225,-0.5076434537395118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3563195095221102,0.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,4.59511985013459
1591,Charming Capitol Hill Apartment,2.4291463770566204,0.5644121447406298,0.45441819576367404,0.39309439198239454,-0.4295106956787127,-0.2506879948032519,0.2881519174941927,119.0,1.0484255254411492,0.2802803491293055,0.18969780656291685,-0.01829765720493445,-0.40813164140945074,-2.9836263409708894,-0.7002266991249751,-3.101654766712147,-9.91058656583992,-7.725926066617898,-0.42955606593324097,-3.9407136147842956,3.0375393382864826,-0.4642233986639193,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,4.77912349311153
1592,Warmly furnished private bedroom,-0.27250209129979946,0.28669691313656426,0.7485051726869626,-0.5918481469306653,-0.4295106956787127,-0.2506879948032519,-0.5430874756230608,65.0,-0.48755916198187066,-0.46049569642034127,-0.3215360853637992,-0.018322326981888157,0.38796285723103807,0.19994480606583992,-0.7002266991249751,-0.3008131434104074,0.4191537548024249,0.4042185363447895,-1.5365258831652184,-0.3891493148089094,-0.3563195095221102,-0.0993289216145665,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,4.174387269895637
1593,Comfortable and Well Located Studio,0.16655784035712803,-0.947593005103727,0.3742126566027772,0.39309439198239454,-0.4295106956787127,-1.4369087904022355,-0.5430874756230608,90.0,-0.8166987378582321,0.2802803491293055,-0.06591913940044118,-0.01829765720493445,-0.04325499619922668,0.4546304978287783,0.5808383245715515,-0.3008131434104074,-1.056523433860767,0.4042185363447895,-0.42955606593324097,0.7947054518495527,-0.3563195095221102,-0.5497455417223615,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,4.499809670330265
